Класс,Подкласс 1,Подкласс 2,Подкласс 3,Подкласс 4,Подкласс 5,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Код класса по КСР,Код класса по МССК,Примечания,Примечания
,,,,,,FFAC020,Шнур слаботочный,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,25.3.17.01,,,
,,,FFAD,,,,Оборудование для управления движением механическое,,,,,,,
,,,,,,FFAD010,Воздухосборник,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,77.6.01.01,,,
,,,,,,FFAD020,Башмак сбрасывающий,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,77.4.04.02,,,
,,FFB,,,,,Оборудование и изделия для обеспечения безопасности на железнодорожных путях,,,,,,,
,,,FFBA,,,,"Устройства электрической сигнализации, электрооборудование для обеспечения безопасности или управления движением",,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,77.4.05.01,,,
,,,FFBB,,,,Вагонные замедлители,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,77.4.05.02,,,
,,FFC,,,,,Осветительное оборудование и изделия,,Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,,ЭЛ 40 50 50,,
,,,FFCA,,,,Лампа газоразрядная,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,"27.40.15.110.20.3.02.04-0006
27.40.15.110.20.3.02.04-0007
27.40.15.110.20.3.02.04-0008
27.40.15.110.20.3.02.04-0009
27.40.15.110.20.3.02.04-0012
27.40.15.110.20.3.02.04-0013
27.40.15.110.20.3.02.04-0014
27.40.15.110.20.3.02.04-0015
27.40.15.110.20.3.02.04-0016",ЭЛ 40 50 50 15,,
,,,FFCB,,,,Лампа ультрафиолетовая,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,26.51.85.130.20.3.02.01-1000,ЭЛ 40 50 50 15,,
,,,FFCC,,,,Лампа дуговая,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,"27.40.15.112.20.3.02.04-0001
27.40.15.112.20.3.02.04-0002
27.40.15.112.20.3.02.04-0003
27.40.15.112.20.3.02.04-0004
27.40.15.112.20.3.02.04-0005
27.40.15.112.20.3.02.04-1000
27.40.15.112.20.3.02.04-1002
27.40.15.112.20.3.02.04-1004
20.3.02.05",ЭЛ 40 50 50 15,,
,,,FFCD,,,,Лампа инфракрасная,,Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,,ЭЛ 40 50 50 15,,
,,FFD,,,,,Электроприводы для обеспечения безопасности или управления движением,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,77.4.05.04,,,
,,FFE,,,,,Аппаратура распределительная и регулирующая электрическая для обеспечения безопасности или управления движением,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,77.4.02,,,
,,,FFEA,,,,Части электрической распределительной или регулирующей аппаратуры,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,77.4.02.01,,,
,,,FFEB,,,,Реакторы для работы в рельсовых цепях,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,77.4.02.02,,,
,,,FFEC,,,,Разъединители для тяговой сети железных дорог и приводы к ним,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,77.4.02.03,,,
,,,FFED,,,,"Электродвигатели, генераторы и трансформаторы",,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,77.4.02.04,,,
G,,,,,,,Специзделия для строительства мостов и тоннелей,,,По виду строительных мостов и тоннелей,,,,
,GA,,,,,,Конструкции автомобильных и железнодорожных мостов и путепроводов,,,,,,,
,,GAA,,,,,Лежни железобетонные,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,23.61.12.162.05.1.02.05-0011 23.61.12.162.05.1.02.05-0012 23.61.12.162.05.1.02.05-0013 23.61.12.162.05.1.02.05-0014 23.61.12.162.05.1.02.05-0015 23.61.12.162.05.1.02.05-0016,,,
,,GAB,,,,,"Стойки, ригели, блоки стоек, насадки",,,,,,,
,,,GABA,,,,Блоки ригелей унифицированных путепроводов через автомобильные и железные дороги,,,,,,,
,,,GABB,,,,"Блоки стоек, ригелей и подколонников для автодорожных мостов",,,,,,,
,,,,,,GABB010,Блок подколонника железобетонный для автодорожных мостов,,Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,,ЭЛ 10 10 50,,
,,,,,,GABB020,Блок стойки железобетонный для автодорожных мостов,,,,,,,
,,,,,,GABB030,Блок ригеля железобетонный для автодорожных мостов,,,,,,,
,,,GABC,,,,Блоки ригелей и стоек для опор автодорожных мостов для северных условий,,,,,,,
,,,,,,GABC010,Стойка железобетонная для опор автодорожных мостов для северных условий,,Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,,ЭЛ 30 16 80 25,,
,,,,,,GABC020,Блок ригеля железобетонный для опор автодорожных мостов для северных условий,,,,,,,
,,,GABD,,,,Стойки для опор пролетных строений,,Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,,ЭЛ 30 16 80 25,,
,,,,,,GABD010,Насадка железобетонная для опор пролетных строений,,,,,,,
,,,,,,GABD020,Вертикальная стойка железобетонная для опор пролетных строений,,,,,,,
,,,,,,GABD030,Наклонная стойка железобетонная для опор пролетных строений,,,,,,,
,,,GABE,,,,"Ригели, блоки диафрагмы, капители для опор автодорожных мостов на бесплитных фундаментах",,,,,,,
,,GAC,,,,,"Блоки стенок, шкафных стенок",,,,,,,
,,,,,,GAC010,Блок ростверка железобетонный для путепроводов через автомобильные и железные дороги,,,,,,,
,,,,,,GAC020,Блок шкафной стенки железобетонный для путепроводов через автомобильные и железные дороги,,,,,,,
,,,,,,GAC030,Блок крыла железобетонный для путепроводов через автомобильные и железные дороги,,,,,,,
,,,,,,GAC040,Блок открылка железобетонный для путепроводов через автомобильные и железные дороги,,,,,,,
,,GAD,,,,,"Блоки ледореза, стенки, ледорезные сваи",,,,,,,
,,,,,,GAD010,Ледорезная свая железобетонная ЛСМ,,,,,,,
,,,,,,GAD020,Блок ледореза железобетонный,,,,,,,
,,,,,,GAD030,Блок стенки железобетонный БС ледореза,,,,,,,
,,GAE,,,,,Блоки фундаментов,,Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,,ЭЛ 10 10 40,,
,,,GAEA,,,,Блоки фундаментов Ф60.60.130 лестничных сходов,,,,,,,
,,,GAEB,,,,Блоки фундаментов для опор пролетных строений,,,,,,,
,,,GAEC,,,,Фундаментные блоки устоев промежуточных опор под пролетные строения автодорожных мостов,,,,,,,
,,,GAED,,,,Блоки шкафных стенок для опор автодорожных мостов для северных условий,,,,,,,
,,,GAEE,,,,Фундаментные блоки для опор автодорожных мостов под белаз-540,,,,,,,
,,GAF,,,,,Плиты переходные для железной дороги,,,,,,,
,,,GAFA,,,,Блок переходной плиты железобетонный,,,,,,,
,,,GAFB,,,,Переходная плита железобетонная,,,,,,,
,,,GAFC,,,,Переходные плиты автодорожных мостов,,,,,,,
,,GAG,,,,,Тротуарные ограждающие блоки,,,,,,,
,,,,,,GAG010,Тротуарный блок железобетонный,,,,,,,
,,,,,,GAG020,Плита заборной стенки железобетонная,,,,,,,
,,,,,,GAG030,Блок бордюра железобетонный,,,,,,,
,,GAH,,,,,"Блоки бордюрные, карнизные, ограждающие, разделительной полосы, тротуарные блоки",,,,,,,
,,,,,,GAH010,Блок ограждающий железобетонный,,,,,,,
,,,,,,GAH020,Блок разделительной полосы железобетонный,,,,,,,
,,,,,,GAH030,Блок карнизный железобетонный,,,,,,,
,,,,,,GAH040,Блок перекрывающий железобетонный,,,,,,,
,,GAJ,,,,,Конструкции для устройства железобетонных арочных мостов,,,,,,,
,,,,,,GAJ010,"Блок полуарок А-9-8(1,2) железобетонный",,,,,,,
,,,,,,GAJ020,Блок портала БП железобетонный,,,,,,,
,,,,,,GAJ030,Лекальный блок железобетонный,,,,,,,
,,,,,,GAJ040,Блок подкрылка железобетонный для арочного моста,,,,,,,
,,GAK,,,,,Балки железобетонные с каркасной арматурой для пролетного строения автодорожных мостов и путепроводов,,,,,,,
,,GAL,,,,,Сваи мостовые железобетонные,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,05.1.05.08,,,
,,GAM,,,,,Блоки контурные опор железнодорожных мостов,,,,,,,
,,GAN,,,,,Плиты железобетонные безбалластного мостового полотна для особо суровых климатических условий,,,,,,,
G,GA,GAP,,,,,Подферменная площадка,,,,,,,
G,GA,GAQ,,,,,Опорная часть,,,,,,,
,GB,,,,,,Конструкции путепроводов тоннельного типа,,,,,,,
,,GBA,,,,,Сборные конструкции для подземных пешеходных переходов,,,,,,,
,,,,,,GBA010,Стеновой блок железобетонный для подземных пешеходных переходов,,,,,,,
,,,,,,GBA020,Плита перекрытия железобетонная ПТ-П1 для подземных пешеходных переходов,,,,,,,
,,,,,,GBA030,Плита днища железобетонная ПТ-Д1 для подземных пешеходных переходов,,,,,,,
,,,,,,GBA040,Лестничный марш железобетонный ПТ-М1 для подземных пешеходных переходов,,Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,,ЭЛ 30 24 10,,
,,,,,,GBA050,Фундамент башмака железобетонный ПТ-Ф1 для подземных пешеходных переходов,,,,,,,
,,,,,,GBA060,Колонна железобетонная ПТ-К1 для подземных пешеходных переходов,,Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,,ЭЛ 30 16 40,,
,,,,,,GBA070,Ригель железобетонный ПТ-Б1 для подземных пешеходных переходов,,Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,,ЭЛ 30 16 65,,
,,,,,,GBA080,Объёмный элемент железобетонный ПТ-Р2М для подземных пешеходных переходов,,,,,,,
,,GBB,,,,,Сборные конструкции тоннелей,,,,,,,
,,,,,,GBB010,Плита перекрытия железобетонная для тоннеля,,,,,,,
,,,,,,GBB020,Стеновой блок железобетонный для тоннеля,,,,,,,
,,,,,,GBB030,Плита днища железобетонная для тоннеля,,,,,,,
,,,,,,GBB040,Объемный элемент железобетонный для тоннеля,,,,,,,
,,,,,,GBB050,Угловой стеновой блок железобетонный для туннеля,,Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,,ЭЛ 30 16 77,,
,,,,,,GBB060,Прогон железобетонный для туннеля,,,,,,,
,,,,,,GBB070,Колонна железобетонная для туннеля,,Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,,ЭЛ 30 16 40,,
,,,,,,GBB080,Фундаментный блок железобетонный Ф 1 для туннеля,,Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,,ЭЛ 10 10 40,,
,,,,,,GBB090,Балка железобетонная для туннеля,,Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,,ЭЛ 30 16 20,,
