Класс,Подкласс,"Тип 
(%%)",Наименование системы,Определение системы,Критерии определения подклассов,Источник,Примеры системы,IFC,МССК,ПСК,Примечание
,,HH10,Система общего освещения,"Освещение, при котором светильники размещаются в верхней зоне помещения равномерно (общее равномерное освещение) или применительно к расположению оборудования (общее локализованное освещение)",,ГОСТ 16504-81,,,СС 20 10 10,,
,,HH20,Система местного освещения,"Система освещения, дополнительного к общему, создаваемое светильниками, концентрирующими световой поток непосредственно на рабочих местах",,ГОСТ 16504-81,Локальное освещение,,,,
,,HH30,"Система комбинированного
освещения",Сочетание общего и местного освещения,,ГОСТ 16504-81,"Акцентирующее освещение
Система дежурного освещения
Система аварийного освещения
Система охранного освещения
Эвакуационное освещение",,СС 20 10 20,,
,,HH40,Система естественного освещения,"Освещение помещений светом неба (прямым или отраженным), проникающим через световые проемы в наружных ограждающих конструкциях",,ГОСТ 16504-81,Система световодов естественного света,,,,
,,HH50,Система наружного освещения,Освещение в нерабочее время,,ГОСТ 16504-81,Утилитарное наружное освещение,,СС 20 10 30,,
,,HH60,Система светового ограждения,"Обозначение местоположения высотного сооружения в темное время суток и при плохой видимости с помощью заградительных огней, устанавливаемых на сооружении для обеспечения безопасности полетов воздушных судов",,ГОСТ 16504-81,,,СС 20 10 50,,
,,HH70,Система освещения аэродромов,"Система, предназначенная для освещения аэродромов",,ГОСТ 16504-81,Аэродромный световой комплекс,,СС 20 10 60,,
,,HH80,Система освещения тоннелей,"Система обеспечения освещением, предназначенная для освещения тоннелей",,ГОСТ 16504-81,"Система встречного освещения тоннеля
Система симметричного освещения тоннеля
Система попутного освещения тоннеля",,,,
,HI,,Не применяется,,,,,,,,
,HJ,,Система обеспечения связи (сигнала),Система обеспечения и подачи сигнала,По типу сигнала,ГОСТ 16504-81,"Система экстренной связи
Система железнодорожной радиосвязи
Система железнодорожной электросвязи
Система телемедицины",IfcDistributionSystem,СС 40 45,,
,,HJ10,Система телеграфии,"Система обеспечения связи, предназначенная для передачи текста",,,,,,,
